AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.1.576.0,

PROFILE DETAILS
CPU Details:,Family(0x1a) Model(0x24)
Sampling Interval:,100 milli-seconds
Profile Start Time:,Jun-21-2025_13-22-05,
Profile Duration:,20 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
72.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
74.,core0-power,Power,W,Core0-Average Power reported in Watts.
76.,core1-power,Power,W,Core1-Average Power reported in Watts.
78.,core2-power,Power,W,Core2-Average Power reported in Watts.
80.,core3-power,Power,W,Core3-Average Power reported in Watts.
82.,core4-power,Power,W,Core4-Average Power reported in Watts.
84.,core5-power,Power,W,Core5-Average Power reported in Watts.
86.,core6-power,Power,W,Core6-Average Power reported in Watts.
88.,core7-power,Power,W,Core7-Average Power reported in Watts.
90.,core8-power,Power,W,Core8-Average Power reported in Watts.
92.,core9-power,Power,W,Core9-Average Power reported in Watts.
94.,core10-power,Power,W,Core10-Average Power reported in Watts.
96.,core11-power,Power,W,Core11-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power,core6-power,core7-power,core8-power,core9-power,core10-power,core11-power
81,13:22:13:539,   43.18,    4.69,    4.64,    4.75,    4.61,    2.60,    1.68,    2.65,    1.66,    2.59,    1.74,    2.33,    2.34
82,13:22:13:639,   42.67,    4.70,    4.76,    4.73,    4.68,    2.62,    2.65,    2.66,    2.65,    2.56,    1.43,    1.31,    1.38
83,13:22:13:740,   42.89,    4.87,    4.54,    4.83,    4.66,    2.26,    2.65,    2.40,    2.50,    2.41,    2.04,    1.62,    2.17
84,13:22:13:843,   43.43,    4.78,    4.51,    4.70,    4.60,    1.76,    1.44,    2.59,    1.80,    2.57,    2.26,    2.55,    2.57
85,13:22:13:945,   42.80,    4.71,    4.72,    4.73,    4.99,    1.94,    1.74,    2.44,    1.58,    2.32,    2.63,    1.92,    2.27
86,13:22:14:048,   42.20,    4.72,    4.34,    4.86,    4.78,    1.37,    1.27,    2.54,    2.58,    2.02,    2.57,    2.05,    2.07
87,13:22:14:149,   42.14,    4.58,    4.67,    4.81,    4.68,    1.74,    1.42,    1.74,    2.64,    2.16,    2.64,    2.14,    2.62
88,13:22:14:254,   42.52,    4.70,    4.29,    4.52,    4.69,    1.94,    1.94,    1.36,    2.51,    2.45,    1.99,    2.51,    2.53
89,13:22:14:357,   41.48,    4.95,    4.22,    4.70,    4.89,    2.04,    1.49,    1.67,    2.40,    2.49,    2.03,    2.55,    1.89
90,13:22:14:458,   42.99,    4.74,    4.67,    4.70,    4.90,    2.61,    2.24,    2.59,    2.62,    1.75,    2.15,    1.75,    1.53
91,13:22:14:561,   42.29,    4.77,    4.65,    4.80,    4.63,    1.62,    1.82,    2.46,    2.63,    2.37,    2.60,    1.75,    1.91
92,13:22:14:664,   42.42,    4.67,    4.64,    4.71,    4.62,    1.44,    1.85,    2.20,    2.64,    2.52,    2.61,    1.44,    2.60
93,13:22:14:766,   42.94,    4.74,    4.72,    4.71,    4.90,    1.49,    2.13,    1.46,    2.60,    1.81,    2.54,    2.14,    2.56
94,13:22:14:868,   42.22,    4.64,    4.68,    4.66,    4.78,    2.14,    2.20,    1.70,    2.18,    2.16,    1.77,    2.20,    2.56
95,13:22:14:969,   42.00,    4.63,    4.30,    4.55,    5.10,    1.77,    2.53,    1.66,    1.98,    2.58,    1.95,    2.29,    2.58
96,13:22:15:072,   42.74,    4.73,    4.73,    5.38,    4.72,    1.58,    2.24,    2.32,    2.37,    1.94,    2.60,    1.64,    2.09
97,13:22:15:174,   43.06,    4.93,    4.61,    4.56,    4.59,    2.18,    2.27,    1.70,    1.98,    2.08,    2.28,    2.40,    2.45
98,13:22:15:277,   42.76,    4.65,    4.44,    4.60,    4.81,    1.42,    2.13,    2.56,    2.26,    2.06,    2.59,    2.52,    1.89
99,13:22:15:378,   42.29,    4.58,    4.59,    4.62,    4.57,    1.86,    2.37,    2.02,    1.89,    2.19,    2.85,    2.52,    2.08
100,13:22:15:480,   42.69,    4.77,    4.69,    4.70,    4.67,    1.44,    2.63,    1.84,    2.27,    2.06,    2.13,    2.58,    2.28
101,13:22:15:582,   42.57,    4.80,    4.76,    4.59,    4.82,    1.99,    2.56,    2.55,    2.61,    1.73,    2.15,    1.72,    1.49
102,13:22:15:684,   41.87,    4.62,    4.43,    4.53,    4.64,    1.84,    2.38,    2.15,    2.62,    2.19,    2.61,    2.21,    1.36
103,13:22:15:786,   42.50,    4.80,    4.70,    4.70,    5.05,    1.68,    2.61,    1.79,    2.48,    1.58,    1.59,    2.55,    2.38
104,13:22:15:888,   43.10,    4.75,    4.79,    4.74,    4.63,    1.96,    2.63,    1.40,    2.63,    2.06,    1.39,    2.54,    2.59
105,13:22:15:990,   42.50,    4.64,    4.74,    4.68,    4.65,    2.17,    2.58,    1.54,    2.65,    2.54,    2.19,    1.83,    1.86
106,13:22:16:092,   41.92,    4.62,    4.64,    4.64,    4.64,    1.99,    2.31,    2.60,    2.63,    1.43,    1.45,    2.23,    2.57
107,13:22:16:192,   42.77,    4.83,    4.55,    5.08,    4.91,    2.28,    2.05,    1.76,    1.75,    1.94,    1.88,    2.51,    2.56
108,13:22:16:294,   42.28,    4.80,    4.67,    4.98,    4.56,    1.86,    1.69,    1.80,    2.10,    2.28,    1.86,    2.51,    2.54
109,13:22:16:397,   42.17,    4.68,    4.73,    4.68,    4.65,    1.50,    2.22,    2.61,    2.63,    2.57,    1.40,    1.78,    2.58
110,13:22:16:500,   42.09,    4.67,    4.54,    4.66,    4.80,    1.37,    2.62,    2.58,    2.61,    2.57,    1.35,    1.87,    2.03
111,13:22:16:602,   43.01,    4.72,    4.68,    4.45,    4.69,    1.81,    2.50,    2.61,    2.19,    2.59,    1.72,    2.52,    1.93
112,13:22:16:703,   42.45,    5.12,    4.12,    4.86,    4.62,    2.12,    1.53,    2.22,    1.52,    2.57,    2.58,    1.76,    2.18
113,13:22:16:804,   42.35,    4.86,    4.59,    4.28,    4.68,    2.59,    1.43,    2.25,    2.07,    2.60,    2.64,    1.45,    2.57
114,13:22:16:905,   42.00,    4.90,    4.62,    4.08,    4.58,    2.29,    1.74,    1.27,    2.60,    2.57,    2.60,    1.27,    2.56
115,13:22:17:005,   42.27,    4.70,    4.70,    4.78,    4.93,    2.27,    1.38,    1.75,    2.66,    2.61,    2.67,    1.38,    2.43
116,13:22:17:108,   42.57,    4.65,    4.72,    4.74,    4.65,    1.40,    2.10,    1.88,    2.64,    1.86,    2.63,    2.03,    2.59
117,13:22:17:210,   42.76,    4.68,    4.76,    4.69,    4.62,    2.16,    2.59,    2.16,    1.96,    1.48,    1.94,    2.52,    2.56
118,13:22:17:309,   42.48,    4.62,    4.68,    4.66,    4.62,    2.54,    2.12,    2.07,    2.23,    1.81,    1.39,    2.54,    2.57
119,13:22:17:409,   42.25,    4.62,    4.67,    4.53,    4.61,    2.58,    1.67,    1.56,    2.49,    2.57,    1.50,    2.35,    2.58
120,13:22:17:510,   42.09,    4.74,    4.61,    4.66,    4.68,    2.36,    1.93,    2.60,    1.67,    2.58,    2.25,    1.40,    2.30
121,13:22:17:612,   42.81,    4.85,    4.70,    4.68,    4.63,    1.46,    2.25,    2.47,    2.62,    2.52,    2.59,    1.69,    1.46
122,13:22:17:714,   42.09,    5.26,    4.56,    4.53,    4.64,    1.41,    1.63,    2.38,    1.96,    2.47,    2.64,    2.58,    1.94
123,13:22:17:816,   42.81,    4.74,    4.74,    4.70,    4.65,    1.40,    2.62,    2.59,    1.47,    1.60,    2.59,    2.35,    2.61
124,13:22:17:918,   42.54,    4.64,    4.73,    4.69,    4.63,    1.70,    1.68,    2.32,    1.41,    2.57,    2.61,    2.55,    2.26
125,13:22:18:019,   42.32,    4.62,    4.71,    4.74,    4.64,    2.19,    2.62,    1.78,    1.82,    2.18,    2.61,    2.55,    1.46
126,13:22:18:120,   42.46,    4.67,    4.73,    4.71,    4.65,    1.82,    2.60,    2.59,    2.65,    1.37,    2.13,    2.55,    1.52
127,13:22:18:221,   42.34,    4.65,    4.68,    4.83,    4.63,    2.22,    2.62,    2.40,    2.58,    1.77,    1.70,    2.51,    1.45
128,13:22:18:324,   41.90,    4.55,    4.53,    4.64,    4.91,    1.45,    2.26,    1.35,    2.27,    2.51,    2.57,    2.47,    2.00
129,13:22:18:427,   42.47,    4.64,    4.73,    4.67,    4.61,    1.79,    1.46,    2.12,    1.84,    2.52,    2.59,    2.54,    2.13
130,13:22:18:536,   42.35,    4.59,    4.81,    4.29,    4.24,    2.25,    1.40,    1.29,    2.29,    2.33,    2.37,    2.25,    1.21
131,13:22:18:638,   42.84,    4.75,    4.71,    4.67,    4.59,    2.25,    2.47,    2.41,    1.82,    2.41,    2.02,    1.66,    2.55
132,13:22:18:738,   42.41,    4.65,    4.72,    4.80,    4.64,    2.56,    1.42,    1.33,    2.60,    1.36,    2.62,    2.57,    2.59
133,13:22:18:839,   42.66,    4.69,    4.72,    4.89,    4.66,    1.73,    1.77,    2.49,    2.24,    1.44,    2.63,    2.30,    2.55
134,13:22:18:940,   42.33,    4.71,    4.70,    4.70,    4.63,    1.87,    2.26,    1.42,    2.56,    1.80,    2.54,    2.47,    2.20
135,13:22:19:041,   41.95,    4.85,    4.63,    4.70,    4.61,    2.45,    1.54,    2.42,    1.52,    2.58,    1.55,    2.26,    2.59
136,13:22:19:143,   42.74,    4.72,    4.70,    4.74,    4.59,    1.39,    2.41,    2.18,    2.66,    2.56,    1.86,    1.33,    2.60
137,13:22:19:246,   42.34,    4.64,    4.61,    4.69,    4.63,    1.45,    2.60,    2.58,    2.64,    2.52,    1.53,    1.47,    2.50
138,13:22:19:346,   41.79,    5.08,    4.57,    4.01,    4.56,    2.14,    2.52,    2.57,    1.73,    2.53,    1.69,    1.35,    2.46
